pair_idx,sample_size,k_true,k_fit,run,true_distance,estimated_distance,absolute_error,relative_error,dimension,em_method
2,100,2,2,2,51.742095947265625,50.125797271728516,1.6162986755371094,0.03123759664595127,2,one_step_cache
2,100,2,2,3,51.742095947265625,48.744747161865234,2.9973487854003906,0.05792862921953201,2,one_step_cache
2,100,2,2,4,51.742095947265625,54.45709991455078,2.7150039672851562,0.05247185751795769,2,one_step_cache
2,500,2,2,0,51.742095947265625,50.973052978515625,0.76904296875,0.014863003976643085,2,one_step_cache
2,500,2,2,1,51.742095947265625,51.90864944458008,0.16655349731445312,0.0032189167104661465,2,one_step_cache
2,500,2,2,2,51.742095947265625,52.60353088378906,0.8614349365234375,0.016648627817630768,2,one_step_cache
2,500,2,2,3,51.742095947265625,49.36083221435547,2.3812637329101562,0.04602178558707237,2,one_step_cache
2,500,2,2,4,51.742095947265625,52.549007415771484,0.8069114685058594,0.015594873577356339,2,one_step_cache
2,1000,2,2,0,51.742095947265625,51.59690856933594,0.1451873779296875,0.0028059817850589752,2,one_step_cache
2,1000,2,2,1,51.742095947265625,52.22285842895508,0.4807624816894531,0.009291515685617924,2,one_step_cache
2,1000,2,2,2,51.742095947265625,51.542789459228516,0.19930648803710938,0.0038519215304404497,2,one_step_cache
2,1000,2,2,3,51.742095947265625,51.458919525146484,0.2831764221191406,0.005472844000905752,2,one_step_cache
2,1000,2,2,4,51.742095947265625,52.75835037231445,1.0162544250488281,0.019640766084194183,2,one_step_cache
2,5000,2,2,0,51.742095947265625,51.2463264465332,0.4957695007324219,0.009581550024449825,2,one_step_cache
2,5000,2,2,1,51.742095947265625,51.54676818847656,0.1953277587890625,0.003775025950744748,2,one_step_cache
2,5000,2,2,2,51.742095947265625,51.83382034301758,0.09172439575195312,0.0017727228114381433,2,one_step_cache
2,5000,2,2,3,51.742095947265625,51.44174575805664,0.3003501892089844,0.005804754793643951,2,one_step_cache
2,5000,2,2,4,51.742095947265625,51.74740219116211,0.005306243896484375,0.00010255177767248824,2,one_step_cache
2,10000,2,2,0,51.742095947265625,51.61375045776367,0.12834548950195312,0.002480485010892153,2,one_step_cache
2,10000,2,2,1,51.742095947265625,51.619049072265625,0.123046875,0.0023780805058777332,2,one_step_cache
2,10000,2,2,2,51.742095947265625,51.66803741455078,0.07405853271484375,0.0014313013525679708,2,one_step_cache
2,10000,2,2,3,51.742095947265625,51.07760238647461,0.6644935607910156,0.012842416763305664,2,one_step_cache
2,10000,2,2,4,51.742095947265625,51.60610580444336,0.13599014282226562,0.002628230256959796,2,one_step_cache
3,50,2,2,0,33.69803237915039,38.3878173828125,4.689785003662109,0.13917088508605957,2,one_step_cache
3,50,2,2,1,33.69803237915039,32.31894302368164,1.37908935546875,0.04092492163181305,2,one_step_cache
3,50,2,2,2,33.69803237915039,30.897008895874023,2.801023483276367,0.08312127739191055,2,one_step_cache
3,50,2,2,3,33.69803237915039,32.7479248046875,0.9501075744628906,0.028194749727845192,2,one_step_cache
3,50,2,2,4,33.69803237915039,32.264408111572266,1.433624267578125,0.042543262243270874,2,one_step_cache
3,100,2,2,0,33.69803237915039,32.360206604003906,1.3378257751464844,0.03970041126012802,2,one_step_cache
3,100,2,2,1,33.69803237915039,42.743839263916016,9.045806884765625,0.2684372365474701,2,one_step_cache
3,100,2,2,2,33.69803237915039,36.044124603271484,2.3460922241210938,0.06962104141712189,2,one_step_cache
3,100,2,2,3,33.69803237915039,37.800716400146484,4.102684020996094,0.12174847722053528,2,one_step_cache
